yi	vi	studyid	taxa	species	setting
1.5733	0.127502	11	Carnivora	Suricata_suricatta	wild
0.7283	0.370324	11	Carnivora	Suricata_suricatta	wild
0.6391	0.130997	11	Carnivora	Suricata_suricatta	wild
1.2498	0.166401	11	Carnivora	Suricata_suricatta	wild
1.0296	0.184955	11	Carnivora	Suricata_suricatta	wild
0.6629	0.166401	11	Carnivora	Suricata_suricatta	wild
0.3819	0.236382	11	Carnivora	Suricata_suricatta	wild
0.7	0.1743	13	Carnivora	Suricata_suricatta	wild
0.5388	0.1712	13	Carnivora	Suricata_suricatta	wild
0.3387	0.1685	13	Carnivora	Suricata_suricatta	wild
0	0.1667	13	Carnivora	Suricata_suricatta	wild
0	0.0001	13	Carnivora	Suricata_suricatta	wild
0.0898	0.1668	13	Carnivora	Suricata_suricatta	wild
0.6545	0.1734	13	Carnivora	Suricata_suricatta	wild
0	0.1667	13	Carnivora	Suricata_suricatta	wild
0.585	0.172	13	Carnivora	Suricata_suricatta	wild
0.585	0.172	13	Carnivora	Suricata_suricatta	wild
2.4423	0.353686	2	Primates	Macaca_fuscata_yakui	provisioned
0.5154	0.344402	2	Primates	Macaca_fuscata_yakui	provisioned
1.5802	0.437377	2	Primates	Macaca_fuscata_yakui	provisioned
1.295	0.3722	4	Primates	Macaca_fuscata_yakui	provisioned
0.2987	0.3111	4	Primates	Macaca_fuscata_yakui	provisioned
-0.4446	0.3726	3	Primates	Mandrillus_sphinx	provisioned
-0.3367	0.3688	3	Primates	Mandrillus_sphinx	provisioned
0.3179	0.3682	3	Primates	Mandrillus_sphinx	provisioned
-0.366	0.3697	3	Primates	Mandrillus_sphinx	provisioned
0.3534	0.3693	3	Primates	Mandrillus_sphinx	provisioned
0.523	0.3761	3	Primates	Mandrillus_sphinx	provisioned
0.6685	0.3839	3	Primates	Mandrillus_sphinx	provisioned
-0.2091	0.3656	3	Primates	Mandrillus_sphinx	provisioned
0.0617	0.0635	8	Primates	Papio_anubis	wild
0.0436	0.0635	8	Primates	Papio_anubis	wild
0.7567	0.149296	5	Primates	Papio_cynocephalus	wild
1.5146	0.514706	6	Primates	Papio_cynocephalus	wild
1.8831	0.577298	6	Primates	Papio_cynocephalus	wild
-0.1648	0.1056	7	Primates	Papio_cynocephalus	wild
-0.4023	0.1074	7	Primates	Papio_cynocephalus	wild
-1.7747	0.729513	9	Primates	Papio_ursinus	wild
0.3822	0.430615	9	Primates	Papio_ursinus	wild
0.8347	0.3914	9	Primates	Papio_ursinus	wild
0	0.729513	9	Primates	Papio_ursinus	wild
0	0.455945	9	Primates	Papio_ursinus	wild
0.3822	0.430615	9	Primates	Papio_ursinus	wild
-0.4588	0.3509	9	Primates	Papio_ursinus	wild
0.3822	0.430615	9	Primates	Papio_ursinus	wild
0.5052	0.592729	9	Primates	Papio_ursinus	wild
