yi	vi	studyid	taxa	species	setting
1.5733	0.127502	11	Carnivora	Suricata_suricatta	wild
0.7283	0.370324	11	Carnivora	Suricata_suricatta	wild
0.6391	0.130997	11	Carnivora	Suricata_suricatta	wild
1.2498	0.166401	11	Carnivora	Suricata_suricatta	wild
1.0296	0.184955	11	Carnivora	Suricata_suricatta	wild
0.6629	0.166401	11	Carnivora	Suricata_suricatta	wild
0.3819	0.236382	11	Carnivora	Suricata_suricatta	wild
0.7	0.1743	13	Carnivora	Suricata_suricatta	wild
0.5388	0.1712	13	Carnivora	Suricata_suricatta	wild
0.3387	0.1685	13	Carnivora	Suricata_suricatta	wild
0	0.1667	13	Carnivora	Suricata_suricatta	wild
0	0.0001	13	Carnivora	Suricata_suricatta	wild
0.0898	0.1668	13	Carnivora	Suricata_suricatta	wild
0.6545	0.1734	13	Carnivora	Suricata_suricatta	wild
0	0.1667	13	Carnivora	Suricata_suricatta	wild
0.585	0.172	13	Carnivora	Suricata_suricatta	wild
0.585	0.172	13	Carnivora	Suricata_suricatta	wild
