yi	vi	studyid	taxa	species	setting	metric
-0.4722	0.157538	1	Artiodactyla	Capra_aegagrus	captive	intensity
1.5802	0.437377	2	Primates	Macaca_fuscata_yakui	provisioned	intensity
-0.366	0.3697	3	Primates	Mandrillus_sphinx	provisioned	intensity
-0.2091	0.3656	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.3534	0.3693	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.523	0.3761	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.6685	0.3839	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.2987	0.3111	4	Primates	Macaca_fuscata_yakui	provisioned	intensity
1.295	0.3722	4	Primates	Macaca_fuscata_yakui	provisioned	intensity
0.7567	0.149296	5	Primates	Papio_cynocephalus	wild	intensity
-0.4023	0.1074	7	Primates	Papio_cynocephalus	wild	intensity
-0.1648	0.1056	7	Primates	Papio_cynocephalus	wild	intensity
0.0617	0.0635	8	Primates	Papio_anubis	wild	intensity
-0.6028	0.0629	10	Perissodactyla	Equus_quagga	wild	intensity
-0.4567	0.0618	10	Perissodactyla	Equus_quagga	wild	intensity
-0.194	0.0606	10	Perissodactyla	Equus_quagga	wild	intensity
-0.1742	0.0605	10	Perissodactyla	Equus_quagga	wild	intensity
-2.4929	1.0153	12	Primates	Cercopithecus_mitis_stuhlmanni	provisioned	intensity
-1.6166	0.485458	12	Primates	Cercopithecus_mitis_albogularis	provisioned	intensity
-0.8525	0.3997	12	Primates	Cercopithecus_mitis_albogularis	provisioned	intensity
-0.154	0.3677	12	Primates	Cercopithecus_mitis_albogularis	provisioned	intensity
0.2594	0.3697	12	Primates	Cercopithecus_mitis_albogularis	provisioned	intensity
1.0943	0.4599	12	Primates	Cercopithecus_mitis_stuhlmanni	provisioned	intensity
1.1407	0.4258	12	Primates	Cercopithecus_mitis_albogularis	provisioned	intensity
0	0.1667	13	Carnivora	Suricata_suricatta	wild	intensity
0.3387	0.1685	13	Carnivora	Suricata_suricatta	wild	intensity
0.5388	0.1712	13	Carnivora	Suricata_suricatta	wild	intensity
0.7	0.1743	13	Carnivora	Suricata_suricatta	wild	intensity
