yi	vi	studyid	taxa	species	setting	metric
0.5154	0.344402	2	Primates	Macaca_fuscata_yakui	provisioned	prevalence
-0.4446	0.3726	3	Primates	Mandrillus_sphinx	provisioned	prevalence
-0.3367	0.3688	3	Primates	Mandrillus_sphinx	provisioned	prevalence
0.3179	0.3682	3	Primates	Mandrillus_sphinx	provisioned	prevalence
-1.7747	0.729513	9	Primates	Papio_ursinus	wild	prevalence
-0.4588	0.3509	9	Primates	Papio_ursinus	wild	prevalence
0	0.729513	9	Primates	Papio_ursinus	wild	prevalence
0	0.455945	9	Primates	Papio_ursinus	wild	prevalence
0.3822	0.430615	9	Primates	Papio_ursinus	wild	prevalence
0.3822	0.430615	9	Primates	Papio_ursinus	wild	prevalence
0.3822	0.430615	9	Primates	Papio_ursinus	wild	prevalence
0.5052	0.592729	9	Primates	Papio_ursinus	wild	prevalence
0.8347	0.3914	9	Primates	Papio_ursinus	wild	prevalence
-0.525	0.0623	10	Perissodactyla	Equus_quagga	wild	prevalence
-0.1697	0.0605	10	Perissodactyla	Equus_quagga	wild	prevalence
-0.158	0.0605	10	Perissodactyla	Equus_quagga	wild	prevalence
0	0.0001	10	Perissodactyla	Equus_quagga	wild	prevalence
0.3819	0.236382	11	Carnivora	Suricata_suricatta	wild	prevalence
0.6391	0.130997	11	Carnivora	Suricata_suricatta	wild	prevalence
0.6629	0.166401	11	Carnivora	Suricata_suricatta	wild	prevalence
0.7283	0.370324	11	Carnivora	Suricata_suricatta	wild	prevalence
1.0296	0.184955	11	Carnivora	Suricata_suricatta	wild	prevalence
1.2498	0.166401	11	Carnivora	Suricata_suricatta	wild	prevalence
0	0.0001	13	Carnivora	Suricata_suricatta	wild	prevalence
0	0.1667	13	Carnivora	Suricata_suricatta	wild	prevalence
0.0898	0.1668	13	Carnivora	Suricata_suricatta	wild	prevalence
0.585	0.172	13	Carnivora	Suricata_suricatta	wild	prevalence
0.585	0.172	13	Carnivora	Suricata_suricatta	wild	prevalence
0.6545	0.1734	13	Carnivora	Suricata_suricatta	wild	prevalence
