yi	vi	studyid	taxa	species	setting	metric
0.5154	0.344402	2	Primates	Macaca_fuscata_yakui	provisioned	prevalence
1.5802	0.437377	2	Primates	Macaca_fuscata_yakui	provisioned	intensity
2.4423	0.353686	2	Primates	Macaca_fuscata_yakui	provisioned	richness
-0.4446	0.3726	3	Primates	Mandrillus_sphinx	provisioned	prevalence
-0.366	0.3697	3	Primates	Mandrillus_sphinx	provisioned	intensity
-0.3367	0.3688	3	Primates	Mandrillus_sphinx	provisioned	prevalence
-0.2091	0.3656	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.3179	0.3682	3	Primates	Mandrillus_sphinx	provisioned	prevalence
0.3534	0.3693	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.523	0.3761	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.6685	0.3839	3	Primates	Mandrillus_sphinx	provisioned	intensity
0.2987	0.3111	4	Primates	Macaca_fuscata_yakui	provisioned	intensity
1.295	0.3722	4	Primates	Macaca_fuscata_yakui	provisioned	intensity
0.7567	0.149296	5	Primates	Papio_cynocephalus	wild	intensity
1.5146	0.514706	6	Primates	Papio_cynocephalus	wild	richness
1.8831	0.577298	6	Primates	Papio_cynocephalus	wild	richness
-0.4023	0.1074	7	Primates	Papio_cynocephalus	wild	intensity
-0.1648	0.1056	7	Primates	Papio_cynocephalus	wild	intensity
0.0436	0.0635	8	Primates	Papio_anubis	wild	richness
0.0617	0.0635	8	Primates	Papio_anubis	wild	intensity
-1.7747	0.729513	9	Primates	Papio_ursinus	wild	prevalence
-0.4588	0.3509	9	Primates	Papio_ursinus	wild	prevalence
0	0.729513	9	Primates	Papio_ursinus	wild	prevalence
0	0.455945	9	Primates	Papio_ursinus	wild	prevalence
0.3822	0.430615	9	Primates	Papio_ursinus	wild	prevalence
0.3822	0.430615	9	Primates	Papio_ursinus	wild	prevalence
0.3822	0.430615	9	Primates	Papio_ursinus	wild	prevalence
0.5052	0.592729	9	Primates	Papio_ursinus	wild	prevalence
0.8347	0.3914	9	Primates	Papio_ursinus	wild	prevalence
