yi	vi	studyid	taxa	species	setting
1.0409	0.371181	20	Aves	Malurus_cyaneus	wild
1.1198	0.4145	24	Carnivora	Suricata_suricatta	wild
1.1188	0.4144	24	Carnivora	Suricata_suricatta	wild
-0.0461	0.386	24	Carnivora	Suricata_suricatta	wild
-0.1425	0.3864	24	Carnivora	Suricata_suricatta	wild
0	0.0001	24	Carnivora	Suricata_suricatta	wild
-0.0359	0.386	24	Carnivora	Suricata_suricatta	wild
0.5913	0.3939	24	Carnivora	Suricata_suricatta	wild
0.1505	0.3865	24	Carnivora	Suricata_suricatta	wild
-0.27	0.3876	24	Carnivora	Suricata_suricatta	wild
0.7183	0.3977	24	Carnivora	Suricata_suricatta	wild
0.8144	0.121822	23	Carnivora	Suricata_suricatta	wild
0.6267	0.415807	23	Carnivora	Suricata_suricatta	wild
0.9873	0.166959	23	Carnivora	Suricata_suricatta	wild
0.2368	0.18179	23	Carnivora	Suricata_suricatta	wild
0.133	0.138247	23	Carnivora	Suricata_suricatta	wild
-0.1366	0.1435	23	Carnivora	Suricata_suricatta	wild
0.4495	0.156189	23	Carnivora	Suricata_suricatta	wild
