yi	vi	studyid	taxa	species	setting	metric
3.3542	0.811641	1	Carnivora	Arctocephalus_forsteri	wild	intensity
3.6065	1.312926	6	Primates	Papio_cynocephalus	wild	intensity
1.8778	0.753709	7	Primates	Papio_cynocephalus	wild	intensity
2.2323	0.844777	7	Primates	Papio_cynocephalus	wild	intensity
5.5104	3.197	8	Primates	Colobus_guereza_kikuyuensis	captive	intensity
0.4491	0.121022	10	Squamata	Podarcis_melisellensis	wild	intensity
-0.3123	0.1687	11	Primates	Papio_cynocephalus	wild	intensity
0.4591	0.1711	11	Primates	Papio_cynocephalus	wild	intensity
0.1263	0.1431	12	Aves	Passer_domesticus	captive	intensity
2.3305	0.37587	13	Artiodactyla	Aepyceros_melampus	wild	intensity
-0.2702	0.061757	14	Aves	Ptilonorhynchus_violaceus	wild	intensity
0.345	0.1097	16	Aves	Parus_major	wild	intensity
0.4296	0.1106	16	Aves	Parus_major	wild	intensity
0.4945	0.1114	16	Aves	Parus_major	wild	intensity
0.028	0.0784	18	Artiodactyla	Ovis_canadensis	wild	intensity
0.1388	0.1485	19	Primates	Papio_anubis	wild	intensity
-1.2676	0.1087	21	Perissodactyla	Equus_quagga	wild	intensity
-0.7363	0.0972	21	Perissodactyla	Equus_quagga	wild	intensity
-0.5579	0.0947	21	Perissodactyla	Equus_quagga	wild	intensity
0.0542	0.0913	21	Perissodactyla	Equus_quagga	wild	intensity
-0.5972	0.362736	22	Primates	Eulemur_fulvus_rufus	wild	intensity
-0.3221	0.344368	22	Primates	Eulemur_fulvus_rufus	wild	intensity
0.2527	0.352281	22	Primates	Eulemur_fulvus_rufus	wild	intensity
1.0371	0.376764	22	Primates	Eulemur_fulvus_rufus	wild	intensity
-0.1425	0.3864	24	Carnivora	Suricata_suricatta	wild	intensity
-0.0461	0.386	24	Carnivora	Suricata_suricatta	wild	intensity
1.1188	0.4144	24	Carnivora	Suricata_suricatta	wild	intensity
1.1198	0.4145	24	Carnivora	Suricata_suricatta	wild	intensity
-0.5113	0.2621	25	Primates	Lophocebus_albigena	wild	intensity
-0.4727	0.0914	26	Aves	Agelaius_phoeniceus	wild	intensity
