yi	vi	studyid	taxa	species	setting	metric
-1.7426	0.2706	2	Squamata	Sceloporus_occidentalis	wild	prevalence
-0.6992	0.3032	4	Primates	Colobus_vellerosus	wild	prevalence
1.5	0.8542	5	Primates	Colobus_guereza_kikuyuensis	captive	prevalence
0.2563	0.394707	9	Actinopterygii	Symphodus_ocellatus	captive	prevalence
1.5368	0.202634	9	Actinopterygii	Symphodus_ocellatus	captive	prevalence
1.917	0.0825	9	Actinopterygii	Symphodus_ocellatus	captive	prevalence
0	0.151982	17	Squamata	Anolis_sabanus	wild	prevalence
1.0409	0.371181	20	Aves	Malurus_cyaneus	wild	prevalence
-0.8231	0.0986	21	Perissodactyla	Equus_quagga	wild	prevalence
-0.6214	0.0955	21	Perissodactyla	Equus_quagga	wild	prevalence
0	0.0001	21	Perissodactyla	Equus_quagga	wild	prevalence
0.08	0.0913	21	Perissodactyla	Equus_quagga	wild	prevalence
-0.1366	0.1435	23	Carnivora	Suricata_suricatta	wild	prevalence
0.133	0.138247	23	Carnivora	Suricata_suricatta	wild	prevalence
0.2368	0.18179	23	Carnivora	Suricata_suricatta	wild	prevalence
0.4495	0.156189	23	Carnivora	Suricata_suricatta	wild	prevalence
0.6267	0.415807	23	Carnivora	Suricata_suricatta	wild	prevalence
0.9873	0.166959	23	Carnivora	Suricata_suricatta	wild	prevalence
-0.27	0.3876	24	Carnivora	Suricata_suricatta	wild	prevalence
-0.0359	0.386	24	Carnivora	Suricata_suricatta	wild	prevalence
0	0.0001	24	Carnivora	Suricata_suricatta	wild	prevalence
0.1505	0.3865	24	Carnivora	Suricata_suricatta	wild	prevalence
0.5913	0.3939	24	Carnivora	Suricata_suricatta	wild	prevalence
0.7183	0.3977	24	Carnivora	Suricata_suricatta	wild	prevalence
-0.5825	0.2646	25	Primates	Lophocebus_albigena	wild	prevalence
-0.4079	0.2592	25	Primates	Lophocebus_albigena	wild	prevalence
0.2484	0.2559	25	Primates	Lophocebus_albigena	wild	prevalence
