yi	vi	studyid	taxa	species	setting	metric
3.3542	0.811641	1	Carnivora	Arctocephalus_forsteri	wild	intensity
2.3305	0.37587	13	Artiodactyla	Aepyceros_melampus	wild	intensity
0.028	0.0784	18	Artiodactyla	Ovis_canadensis	wild	intensity
-1.2676	0.1087	21	Perissodactyla	Equus_quagga	wild	intensity
-0.8231	0.0986	21	Perissodactyla	Equus_quagga	wild	prevalence
-0.7363	0.0972	21	Perissodactyla	Equus_quagga	wild	intensity
-0.6214	0.0955	21	Perissodactyla	Equus_quagga	wild	prevalence
-0.5579	0.0947	21	Perissodactyla	Equus_quagga	wild	intensity
0	0.0001	21	Perissodactyla	Equus_quagga	wild	prevalence
0.0542	0.0913	21	Perissodactyla	Equus_quagga	wild	intensity
0.08	0.0913	21	Perissodactyla	Equus_quagga	wild	prevalence
-0.1366	0.1435	23	Carnivora	Suricata_suricatta	wild	prevalence
0.133	0.138247	23	Carnivora	Suricata_suricatta	wild	prevalence
0.2368	0.18179	23	Carnivora	Suricata_suricatta	wild	prevalence
0.4495	0.156189	23	Carnivora	Suricata_suricatta	wild	prevalence
0.6267	0.415807	23	Carnivora	Suricata_suricatta	wild	prevalence
0.8144	0.121822	23	Carnivora	Suricata_suricatta	wild	richness
0.9873	0.166959	23	Carnivora	Suricata_suricatta	wild	prevalence
-0.27	0.3876	24	Carnivora	Suricata_suricatta	wild	prevalence
-0.1425	0.3864	24	Carnivora	Suricata_suricatta	wild	intensity
-0.0461	0.386	24	Carnivora	Suricata_suricatta	wild	intensity
-0.0359	0.386	24	Carnivora	Suricata_suricatta	wild	prevalence
0	0.0001	24	Carnivora	Suricata_suricatta	wild	prevalence
0.1505	0.3865	24	Carnivora	Suricata_suricatta	wild	prevalence
0.5913	0.3939	24	Carnivora	Suricata_suricatta	wild	prevalence
0.7183	0.3977	24	Carnivora	Suricata_suricatta	wild	prevalence
1.1188	0.4144	24	Carnivora	Suricata_suricatta	wild	intensity
1.1198	0.4145	24	Carnivora	Suricata_suricatta	wild	intensity
