yi	vi	studyid	taxa	species	setting
-0.3123	0.1687	11	Primates	Papio_cynocephalus	wild
0.4591	0.1711	11	Primates	Papio_cynocephalus	wild
-0.3075	0.2569	25	Primates	Lophocebus_albigena	wild
-0.5113	0.2621	25	Primates	Lophocebus_albigena	wild
-0.5825	0.2646	25	Primates	Lophocebus_albigena	wild
0.2484	0.2559	25	Primates	Lophocebus_albigena	wild
-0.4079	0.2592	25	Primates	Lophocebus_albigena	wild
1.5368	0.202634	9	Actinopterygii	Symphodus_ocellatus	captive
0.2563	0.394707	9	Actinopterygii	Symphodus_ocellatus	captive
1.917	0.0825	9	Actinopterygii	Symphodus_ocellatus	captive
-0.2702	0.061757	14	Aves	Ptilonorhynchus_violaceus	wild
1.5	0.8542	5	Primates	Colobus_guereza_kikuyuensis	captive
0.2527	0.352281	22	Primates	Eulemur_fulvus_rufus	wild
-0.3221	0.344368	22	Primates	Eulemur_fulvus_rufus	wild
0	0.0001	21	Perissodactyla	Equus_quagga	wild
-1.2676	0.1087	21	Perissodactyla	Equus_quagga	wild
-0.6214	0.0955	21	Perissodactyla	Equus_quagga	wild
-0.5579	0.0947	21	Perissodactyla	Equus_quagga	wild
0.08	0.0913	21	Perissodactyla	Equus_quagga	wild
0.0542	0.0913	21	Perissodactyla	Equus_quagga	wild
-0.8231	0.0986	21	Perissodactyla	Equus_quagga	wild
-0.7363	0.0972	21	Perissodactyla	Equus_quagga	wild
3.6065	1.312926	6	Primates	Papio_cynocephalus	wild
0.4491	0.121022	10	Squamata	Podarcis_melisellensis	wild
2.2323	0.844777	7	Primates	Papio_cynocephalus	wild
1.8778	0.753709	7	Primates	Papio_cynocephalus	wild
5.5104	3.197	8	Primates	Colobus_guereza_kikuyuensis	captive
2.3305	0.37587	13	Artiodactyla	Aepyceros_melampus	wild
1.6225	0.2416	3	Primates	Pan_troglodytes	wild
0.9827	0.3736	15	Primates	Pan_troglodytes	wild
0.1388	0.1485	19	Primates	Papio_anubis	wild
0.6992	0.1572	19	Primates	Papio_anubis	wild
3.3542	0.811641	1	Carnivora	Arctocephalus_forsteri	wild
0.028	0.0784	18	Artiodactyla	Ovis_canadensis	wild
0.1263	0.1431	12	Aves	Passer_domesticus	captive
0.8144	0.121822	23	Carnivora	Suricata_suricatta	wild
0.6267	0.415807	23	Carnivora	Suricata_suricatta	wild
0.9873	0.166959	23	Carnivora	Suricata_suricatta	wild
0.2368	0.18179	23	Carnivora	Suricata_suricatta	wild
0.133	0.138247	23	Carnivora	Suricata_suricatta	wild
-0.1366	0.1435	23	Carnivora	Suricata_suricatta	wild
0.4495	0.156189	23	Carnivora	Suricata_suricatta	wild
1.1198	0.4145	24	Carnivora	Suricata_suricatta	wild
1.1188	0.4144	24	Carnivora	Suricata_suricatta	wild
-0.0461	0.386	24	Carnivora	Suricata_suricatta	wild
-0.1425	0.3864	24	Carnivora	Suricata_suricatta	wild
0	0.0001	24	Carnivora	Suricata_suricatta	wild
-0.0359	0.386	24	Carnivora	Suricata_suricatta	wild
0.5913	0.3939	24	Carnivora	Suricata_suricatta	wild
0.1505	0.3865	24	Carnivora	Suricata_suricatta	wild
-0.27	0.3876	24	Carnivora	Suricata_suricatta	wild
0.7183	0.3977	24	Carnivora	Suricata_suricatta	wild
-0.4727	0.0914	26	Aves	Agelaius_phoeniceus	wild
